Member,KMeans,GMM,Agglomerative,Hierarchical,RFM,Spark KMeans,RFM_Score,RFM_Segment,KMeans_Percent,GMM_Percent,Agglomerative_Percent,Hierarchical_Percent,RFM_Percent,SparkKMeans_Percent
4283,1,3,2,3,1,0,6,Ordinary Buyers,19.98,24.96,22.76,22.76,20.99,20.09
4284,2,0,0,4,2,3,8,Loyal Customers,36.63,28.35,36.76,36.76,32.84,36.35
4285,2,2,0,4,2,3,8,Loyal Customers,36.63,25.12,36.76,36.76,32.84,36.35
4286,2,0,0,4,2,3,9,Loyal Customers,36.63,28.35,36.76,36.76,32.84,36.35
4287,0,0,0,4,0,2,4,Ordinary Buyers,26.68,28.35,36.76,36.76,29.3,27.32
4288,2,1,1,2,3,3,11,VIP,36.63,21.58,29.89,29.89,16.88,36.35
4289,0,1,0,4,2,2,9,Loyal Customers,26.68,21.58,36.76,36.76,32.84,27.32
4290,1,2,2,3,0,0,4,Ordinary Buyers,19.98,25.12,22.76,22.76,29.3,20.09
4291,2,1,1,2,3,3,11,VIP,36.63,21.58,29.89,29.89,16.88,36.35
4292,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4293,3,1,3,1,3,1,11,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4294,2,1,1,2,2,3,10,VIP,36.63,21.58,29.89,29.89,32.84,36.35
4295,2,0,1,2,2,3,9,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
4296,2,0,0,4,2,3,9,Loyal Customers,36.63,28.35,36.76,36.76,32.84,36.35
4297,3,1,3,1,3,1,11,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4298,2,0,0,4,1,3,6,Ordinary Buyers,36.63,28.35,36.76,36.76,20.99,36.35
4299,3,3,3,1,3,1,11,VIP,16.7,24.96,10.6,10.6,16.88,16.24
4300,0,3,0,4,0,2,5,Ordinary Buyers,26.68,24.96,36.76,36.76,29.3,27.32
4301,3,1,1,2,3,1,12,VIP,16.7,21.58,29.89,29.89,16.88,16.24
4302,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4303,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4304,1,2,0,4,0,0,5,Ordinary Buyers,19.98,25.12,36.76,36.76,29.3,20.09
4305,2,3,1,2,2,3,10,VIP,36.63,24.96,29.89,29.89,32.84,36.35
4306,2,0,1,2,2,3,10,VIP,36.63,28.35,29.89,29.89,32.84,36.35
4307,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
